LSOA21CD,LSOA21NM,borough,inner_outer,population,charger_count,chargers_per_10k,pct_car_owning_households,pct_flats_apartments,imd_decile,priority_score
E01001198,Ealing 021C,Ealing,Outer,1528.0,2.0,13.089005235602095,66.10738255033557,52.268907563025216,6,40.36
E01002290,Havering 025E,Havering,Outer,1531.0,0.0,0.0,82.98555377207063,2.7331189710610935,9,40.36
E01001737,Hackney 012B,Hackney,Inner,1672.0,4.0,23.923444976076556,48.300283286118976,78.2051282051282,6,40.35
E01004013,Southwark 019D,Southwark,Inner,1685.0,7.0,41.54302670623145,44.74885844748858,49.013657056145675,3,40.35
E01002317,Havering 014C,Havering,Outer,1521.0,0.0,0.0,89.009009009009,2.166064981949458,10,40.35
E01004327,Waltham Forest 028A,Waltham Forest,Outer,1462.0,1.0,6.839945280437757,61.016949152542374,35.72938689217759,4,40.34
E01002148,Harrow 006B,Harrow,Outer,1443.0,0.0,0.0,89.7119341563786,3.476482617586912,9,40.33
E01003142,Lambeth 035C,Lambeth,Inner,1412.0,0.0,0.0,68.57142857142857,5.077262693156733,5,40.32
E01002851,Kensington and Chelsea 015D,Kensington and Chelsea,Inner,1328.0,4.0,30.12048192771084,22.36180904522613,97.86163522012579,2,40.28
E01003825,Richmond upon Thames 023D,Richmond upon Thames,Outer,1752.0,2.0,11.415525114155251,87.98151001540832,6.769230769230769,10,40.27
E01002273,Havering 015C,Havering,Outer,1308.0,0.0,0.0,93.3609958506224,1.8556701030927836,8,40.27
E01003144,Lambeth 034C,Lambeth,Inner,1575.0,1.0,6.349206349206349,76.0536398467433,21.606118546845124,7,40.26
E01002569,Hounslow 001A,Hounslow,Outer,2105.0,18.0,85.51068883610452,61.99376947040498,47.66355140186916,9,40.26
E01004349,Waltham Forest 001A,Waltham Forest,Outer,1510.0,3.0,19.867549668874172,77.8584392014519,14.801444043321299,4,40.25
E01000845,Camden 014B,Camden,Inner,1618.0,2.0,12.360939431396787,45.91104734576758,85.93974175035868,7,40.25
E01004331,Waltham Forest 028E,Waltham Forest,Outer,1607.0,2.0,12.445550715619165,56.550580431177444,18.106312292358805,3,40.24
