lsoa_code,households_total_housing,households_detached,households_semi_detached,households_terraced,households_flats_apartments,households_other_accommodation,pct_flats_apartments,pct_houses
E01002802,822,19,23,218,560,2,68.1265206812652,31.630170316301705
E01002804,709,7,22,68,612,0,86.31875881523273,13.681241184767279
E01002805,718,6,12,63,637,0,88.71866295264624,11.28133704735376
E01002806,701,8,18,260,415,0,59.201141226818834,40.798858773181166
E01002807,805,9,15,58,722,1,89.68944099378882,10.186335403726709
E01002808,866,13,24,158,671,0,77.48267898383372,22.51732101616628
E01002809,735,9,23,193,510,0,69.38775510204081,30.612244897959183
E01002810,795,10,18,109,657,1,82.64150943396227,17.232704402515722
E01002811,734,5,30,99,599,1,81.60762942779292,18.256130790190735
E01002812,734,7,9,30,688,0,93.73297002724796,6.267029972752043
E01002813,685,10,40,250,385,0,56.20437956204379,43.79562043795621
E01002814,1020,7,21,19,973,0,95.3921568627451,4.6078431372549025
E01002815,627,5,6,36,579,1,92.34449760765551,7.496012759170653
E01002816,544,2,9,35,498,0,91.54411764705883,8.455882352941178
E01002817,607,17,48,167,375,0,61.779242174629324,38.220757825370676
E01002818,719,6,23,38,652,0,90.68150208623088,9.318497913769123
E01002819,571,7,21,159,384,0,67.25043782837128,32.749562171628725
E01002821,537,8,16,131,382,0,71.13594040968343,28.86405959031657
E01002823,606,0,11,86,508,1,83.82838283828383,16.006600660066006
E01002824,552,3,12,101,436,0,78.98550724637681,21.014492753623188
E01002825,730,6,18,66,639,1,87.53424657534246,12.32876712328767
E01002826,636,8,14,68,546,0,85.84905660377359,14.150943396226415
E01002827,791,22,29,292,447,1,56.51074589127687,43.36283185840708
E01002828,623,11,26,173,413,0,66.29213483146067,33.70786516853933
E01002829,716,2,6,52,656,0,91.62011173184358,8.379888268156424
E01002830,825,3,5,65,752,0,91.15151515151516,8.848484848484848
E01002831,886,1,9,70,805,1,90.85778781038375,9.029345372460497
E01002832,787,0,6,32,749,0,95.1715374841169,4.8284625158831
E01002833,653,4,6,50,591,2,90.50535987748852,9.188361408882082
E01002834,613,8,8,26,571,0,93.14845024469821,6.851549755301795
E01002835,645,7,31,114,492,1,76.27906976744187,23.565891472868216
E01002836,710,5,6,14,685,0,96.47887323943662,3.5211267605633805
E01002837,492,1,25,88,377,1,76.6260162601626,23.170731707317074
E01002839,853,2,6,29,816,0,95.66236811254396,4.337631887456038
E01002840,536,4,11,16,486,19,90.67164179104478,5.7835820895522385
E01002841,609,6,13,106,484,0,79.47454844006569,20.525451559934318
E01002842,401,0,0,0,401,0,100.0,0.0
E01002843,631,5,3,13,610,0,96.67194928684627,3.328050713153724
E01002844,611,6,39,127,437,2,71.52209492635025,28.150572831423897
E01002845,614,3,8,77,525,1,85.50488599348535,14.332247557003258
E01002846,715,2,6,11,696,0,97.34265734265735,2.6573426573426575
E01002847,715,0,5,10,699,1,97.76223776223776,2.097902097902098
E01002848,710,3,5,4,697,1,98.16901408450704,1.6901408450704223
E01002849,739,3,3,15,718,0,97.15832205683355,2.841677943166441
E01002850,631,6,18,128,479,0,75.91125198098257,24.088748019017434
E01002851,795,1,1,15,778,0,97.86163522012579,2.138364779874214
E01002852,846,4,13,9,816,4,96.45390070921985,3.0732860520094563
